,title,overview,release_date,original_language,vote_count,vote_average,popularity
999,Naruto Shippuden the Movie: The Will of Fire,"Ninjas with bloodline limits begin disappearing in all the countries and blame points toward the fire nation. By Tsunade's order, Kakashi is sacrificed to prevent an all out war. After inheriting charms left by Kakashi, Naruto fights through friends and foes to prevent his death while changing the minds of those who've inherited the will of fire.",2009-08-01,ja,321,7.3,97.645
1000,Shazam!,A boy is given the ability to become an adult superhero in times of need with a single magic word.,2019-03-29,en,7816,7.0,78.955
1001,The Book of Life,"The journey of Manolo, a young man who is torn between fulfilling the expectations of his family and following his heart. Before choosing which path to follow, he embarks on an incredible adventure that spans three fantastical worlds where he must face his greatest fears.",2014-10-01,en,2228,7.5,82.529
1002,Vivo,A music-loving kinkajou named Vivo embarks on the journey of a lifetime to fulfill his destiny and deliver a love song for an old friend.,2021-07-30,en,557,7.5,99.168
1003,Wrong Turn 5: Bloodlines,"A small West Virginia town is hosting the legendary Mountain Man Festival on Halloween, where throngs of costumed party goers gather for a wild night of music and mischief. But an inbred family of hillbilly cannibals kill the fun when they trick and treat themselves to a group of visiting college students.",2012-10-23,en,735,5.4,91.412
1004,Trollhunters: Rise of the Titans,"The Guardians of Arcadia reunite to battle the nefarious Arcane Order, who've reawakened the primordial Titans.",2021-07-21,en,252,7.8,84.204
1005,Special Forces,"Afghanistan. War correspondent Elsa Casanova is taken hostage by the Taliban. Faced with her imminent execution, a Special Forces unit is dispatched to free her. In some of the world’s most breathtaking yet hostile landscapes, a relentless pursuit begins between her kidnappers who have no intention of letting their prey escape them and a group of soldiers who risk their lives in pursuit of their single aim – to bring her home alive. This strong, independent woman and these men of duty are thrown together and forced to confront situations of great danger that inextricably bind them – emotionally, violently and intimately.",2011-11-02,fr,450,6.7,84.642
1006,The Secret Life of Pets 2,"Max the terrier must cope with some major life changes when his owner gets married and has a baby. When the family takes a trip to the countryside, nervous Max has numerous run-ins with canine-intolerant cows, hostile foxes and a scary turkey. Luckily for Max, he soon catches a break when he meets Rooster, a gruff farm dog who tries to cure the lovable pooch of his neuroses.",2019-05-24,en,2529,7.0,84.552
1007,My Friend's Nice Mother 2,,2018-04-26,ko,1,5.0,113.226
1008,Far from the Tree,"On an idyllic beach in the Pacific Northwest, curiosity gets the better of a young raccoon whose frustrated parent attempts to keep them both safe.",2021-11-24,en,289,8.2,87.675
1009,Insidious,"A family discovers that dark spirits have invaded their home after their son inexplicably falls into an endless sleep. When they reach out to a professional for help, they learn things are a lot more personal than they thought.",2010-09-13,en,5615,6.9,84.936
1010,Manifiesto,"Two actors are holed up in a remote house somewhere on the Argentinian coastline. The characters crosses the space-time threshold: Leon Trotsky, in his Mexican exile, asks André Breton to write the first draft of a revolutionary manifesto.",2019-10-27,es,1,2.0,72.376
1011,Monkey King: Hero Is Back,"The all-powerful Monkey King once roamed freely between Heaven and Earth, but after angering the Gods, he was imprisoned within an ice cage deep within the mountains. 500 years later, monsters attack a small village and a child flees to the mountains. Unknowingly, the child releases the Monkey King from his curse. With the help and encouragement from this special child, Monkey King saves the village from the evil monsters.",2015-07-10,zh,192,6.9,85.581
1012,Skylines,"When a virus threatens to turn the now earth-dwelling friendly alien hybrids against humans, Captain Rose Corley must lead a team of elite mercenaries on a mission to the alien world in order to save what's left of humanity.",2020-10-25,en,436,5.6,95.847
1013,Minions,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",2015-06-17,en,9457,6.4,93.163
1014,A Haunted House 2,"After exorcising the demons of his ex-, Malcolm starts afresh with his new girlfriend and her two children. After moving into their dream home, Malcolm is once again plagued by bizarre paranormal events.",2014-04-17,en,1106,6.1,89.57
1015,Jeepers Creepers: Reborn,"Forced to travel with her boyfriend to a horror festival, Laine begins to experience disturbing visions associated with the urban legend of The Creeper. As the festival arrives and the blood-soaked entertainment builds to a frenzy, she becomes the center of it while something unearthly has been summoned.",2022-09-15,en,0,0.0,78.804
1016,The Lion King 1½,Timon the meerkat and Pumbaa the warthog are best pals and the unsung heroes of the African savanna. This prequel to the smash Disney animated adventure takes you back -- way back -- before Simba's adventure began. You'll find out all about Timon and Pumbaa and tag along as they search for the perfect home and attempt to raise a rambunctious lion cub.,2004-02-06,en,2579,6.6,86.551
1017,Sneakerella,"When El, an aspiring sneaker designer from Queens, meets Kira King, the fiercely independent daughter of legendary basketball star and sneaker tycoon Darius King, sparks fly as the two bond over their mutual affinity for sneakers. With a little nudge from his best friend and a sprinkle of Fairy Godfather magic, El finds the courage to use his talent to pursue his dream of becoming a ‘legit’ sneaker designer in the industry.",2022-05-11,en,53,6.2,87.068
1018,Cirque du Freak: The Vampire's Assistant,"Darren Shan is a regular teenage kid. He and his friend Steve find out about a Freak Show coming to town and work hard at trying to find tickets. They do, and together they go to ""Cirque du Freak"" where they see many strange acts including a wolf-man and a bearded lady",2009-10-23,en,911,5.7,86.484
1019,Public Enemies,"Depression-era bank robber John Dillinger's charm and audacity endear him to much of America's downtrodden public, but he's also a thorn in the side of J. Edgar Hoover and the fledgling FBI. Desperate to capture the elusive outlaw, Hoover makes Dillinger his first Public Enemy Number One and assigns his top agent, Melvin Purvis, the task of bringing him in dead or alive.",2009-07-01,en,3789,6.7,89.98
1020,Maze Runner: The Death Cure,"Thomas leads his group of escaped Gladers on their final and most dangerous mission yet. To save their friends, they must break into the legendary Last City, a WCKD-controlled labyrinth that may turn out to be the deadliest maze of all. Anyone who makes it out alive will get answers to the questions the Gladers have been asking since they first arrived in the maze.",2018-01-10,en,6543,7.1,81.68
1021,Chaos Walking,"Two unlikely companions embark on a perilous adventure through the badlands of an unexplored planet as they try to escape a dangerous and disorienting reality, where all inner thoughts are seen and heard by everyone.",2021-02-24,en,1841,6.7,93.797
1022,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,1977-05-25,en,17578,8.2,75.152
1023,Riverdance: The Animated Adventure,A young Irish boy named Keegan and Spanish girl named Moya journey into a magical world of the Megaloceros Giganteus who teach them to appreciate Riverdance as a celebration of life. Based on the stage show phenomenon of the same name and featuring Bill Whelan’s multi-platinum Grammy Award-winning music.,2021-05-28,en,51,5.7,83.313
1024,Rio,"Captured by smugglers when he was just a hatchling, a macaw named Blu never learned to fly and lives a happily domesticated life in Minnesota with his human friend, Linda. Blu is thought to be the last of his kind, but when word comes that Jewel, a lone female, lives in Rio de Janeiro, Blu and Linda go to meet her. Animal smugglers kidnap Blu and Jewel, but the pair soon escape and begin a perilous adventure back to freedom -- and Linda.",2011-04-03,en,5667,6.7,84.391
